,rule_id,rule,len_l,len_r,count_lhs,count_rhs,support,confidence,lift,rpf,conviction,lhs,rhs,itemset
661,1164,"{('ARRIVAL_DELAY', 'ARRIVAL_DELAY_3'), ('DIVERTED', 0.0), ('CANCELLATION_REASON', 4), ((('CANCELLATION_REASON', 4),)",2,1,19004,98425,0.19004,1.0,1.016002032004064,0.19004,15750000.000000041,"(('ARRIVAL_DELAY', 'ARRIVAL_DELAY_3'), ('DIVERTED', 0.0))","(('CANCELLATION_REASON', 4),)","['CANCELLATION_REASON,4', 'DIVERTED,0.0', 'ARRIVAL_DELAY,ARRIVAL_DELAY_3']"
662,1167,"{('ARRIVAL_DELAY', 'ARRIVAL_DELAY_3'), ('DIVERTED', 0.0), ('CANCELLED', 0.0), ((('CANCELLED', 0.0),)",2,1,19004,98425,0.19004,1.0,1.016002032004064,0.19004,15750000.000000041,"(('ARRIVAL_DELAY', 'ARRIVAL_DELAY_3'), ('DIVERTED', 0.0))","(('CANCELLED', 0.0),)","['DIVERTED,0.0', 'CANCELLED,0.0', 'ARRIVAL_DELAY,ARRIVAL_DELAY_3']"
663,1170,"{('ARRIVAL_DELAY', 'ARRIVAL_DELAY_4'), ('CANCELLED', 0.0), ('CANCELLATION_REASON', 4), ((('CANCELLATION_REASON', 4),)",2,1,19191,98425,0.19191,1.0,1.0160020320040641,0.19191,15750000.000000041,"(('ARRIVAL_DELAY', 'ARRIVAL_DELAY_4'), ('CANCELLED', 0.0))","(('CANCELLATION_REASON', 4),)","['CANCELLATION_REASON,4', 'CANCELLED,0.0', 'ARRIVAL_DELAY,ARRIVAL_DELAY_4']"
665,1178,"{('ARRIVAL_DELAY', 'ARRIVAL_DELAY_4'), ('DIVERTED', 0.0), ('CANCELLATION_REASON', 4), ((('CANCELLATION_REASON', 4),)",2,1,19191,98425,0.19191,1.0,1.0160020320040641,0.19191,15750000.000000041,"(('ARRIVAL_DELAY', 'ARRIVAL_DELAY_4'), ('DIVERTED', 0.0))","(('CANCELLATION_REASON', 4),)","['CANCELLATION_REASON,4', 'DIVERTED,0.0', 'ARRIVAL_DELAY,ARRIVAL_DELAY_4']"
670,1199,"{('ARRIVAL_DELAY', 'ARRIVAL_DELAY_4'), ('DIVERTED', 0.0), ('CANCELLED', 0.0), ((('CANCELLED', 0.0),)",2,1,19191,98425,0.19191,1.0,1.0160020320040641,0.19191,15750000.000000041,"(('ARRIVAL_DELAY', 'ARRIVAL_DELAY_4'), ('DIVERTED', 0.0))","(('CANCELLED', 0.0),)","['DIVERTED,0.0', 'CANCELLED,0.0', 'ARRIVAL_DELAY,ARRIVAL_DELAY_4']"
686,1261,"{('ARRIVAL_TIME', 'ARRIVAL_TIME_0'), ('CANCELLED', 0.0), ('CANCELLATION_REASON', 4), ((('CANCELLATION_REASON', 4),)",2,1,19555,98425,0.19555,1.0,1.0160020320040641,0.19555,15750000.000000041,"(('ARRIVAL_TIME', 'ARRIVAL_TIME_0'), ('CANCELLED', 0.0))","(('CANCELLATION_REASON', 4),)","['CANCELLATION_REASON,4', 'CANCELLED,0.0', 'ARRIVAL_TIME,ARRIVAL_TIME_0']"
688,1269,"{('ARRIVAL_TIME', 'ARRIVAL_TIME_0'), ('DIVERTED', 0.0), ('CANCELLATION_REASON', 4), ((('CANCELLATION_REASON', 4),)",2,1,19505,98425,0.19505,1.0,1.0160020320040641,0.19505,15750000.000000041,"(('ARRIVAL_TIME', 'ARRIVAL_TIME_0'), ('DIVERTED', 0.0))","(('CANCELLATION_REASON', 4),)","['CANCELLATION_REASON,4', 'DIVERTED,0.0', 'ARRIVAL_TIME,ARRIVAL_TIME_0']"
692,1287,"{('CANCELLATION_REASON', 4), ('WHEELS_ON', 'WHEELS_ON_0'), ('ARRIVAL_TIME', 'ARRIVAL_TIME_0'), ((('ARRIVAL_TIME', 'ARRIVAL_TIME_0'),)",2,1,19602,19555,0.19236,0.9813284358738904,5.018299339677272,0.18876833792470157,43.084229659734746,"(('CANCELLATION_REASON', 4), ('WHEELS_ON', 'WHEELS_ON_0'))","(('ARRIVAL_TIME', 'ARRIVAL_TIME_0'),)","['CANCELLATION_REASON,4', 'ARRIVAL_TIME,ARRIVAL_TIME_0', 'WHEELS_ON,WHEELS_ON_0']"
695,1297,"{('ARRIVAL_TIME', 'ARRIVAL_TIME_0'), ('DIVERTED', 0.0), ('CANCELLED', 0.0), ((('CANCELLED', 0.0),)",2,1,19505,98425,0.19505,1.0,1.0160020320040641,0.19505,15750000.000000041,"(('ARRIVAL_TIME', 'ARRIVAL_TIME_0'), ('DIVERTED', 0.0))","(('CANCELLED', 0.0),)","['DIVERTED,0.0', 'CANCELLED,0.0', 'ARRIVAL_TIME,ARRIVAL_TIME_0']"
699,1315,"{('CANCELLED', 0.0), ('WHEELS_ON', 'WHEELS_ON_0'), ('ARRIVAL_TIME', 'ARRIVAL_TIME_0'), ((('ARRIVAL_TIME', 'ARRIVAL_TIME_0'),)",2,1,19602,19555,0.19236,0.9813284358738904,5.018299339677272,0.18876833792470157,43.084229659734746,"(('CANCELLED', 0.0), ('WHEELS_ON', 'WHEELS_ON_0'))","(('ARRIVAL_TIME', 'ARRIVAL_TIME_0'),)","['CANCELLED,0.0', 'ARRIVAL_TIME,ARRIVAL_TIME_0', 'WHEELS_ON,WHEELS_ON_0']"
713,1364,"{('DIVERTED', 0.0), ('WHEELS_ON', 'WHEELS_ON_0'), ('ARRIVAL_TIME', 'ARRIVAL_TIME_0'), ((('ARRIVAL_TIME', 'ARRIVAL_TIME_0'),)",2,1,19554,19555,0.19188,0.981282602025161,5.018064955383079,0.1882885056765879,42.978728031677356,"(('DIVERTED', 0.0), ('WHEELS_ON', 'WHEELS_ON_0'))","(('ARRIVAL_TIME', 'ARRIVAL_TIME_0'),)","['DIVERTED,0.0', 'ARRIVAL_TIME,ARRIVAL_TIME_0', 'WHEELS_ON,WHEELS_ON_0']"
722,1405,"{('ARRIVAL_TIME', 'ARRIVAL_TIME_1'), ('CANCELLED', 0.0), ('CANCELLATION_REASON', 4), ((('CANCELLATION_REASON', 4),)",2,1,19855,98425,0.19855,1.0,1.016002032004064,0.19855,15750000.000000041,"(('ARRIVAL_TIME', 'ARRIVAL_TIME_1'), ('CANCELLED', 0.0))","(('CANCELLATION_REASON', 4),)","['ARRIVAL_TIME,ARRIVAL_TIME_1', 'CANCELLED,0.0', 'CANCELLATION_REASON,4']"
725,1413,"{('ARRIVAL_TIME', 'ARRIVAL_TIME_1'), ('DIVERTED', 0.0), ('CANCELLATION_REASON', 4), ((('CANCELLATION_REASON', 4),)",2,1,19815,98425,0.19815,1.0,1.016002032004064,0.19815,15750000.000000041,"(('ARRIVAL_TIME', 'ARRIVAL_TIME_1'), ('DIVERTED', 0.0))","(('CANCELLATION_REASON', 4),)","['ARRIVAL_TIME,ARRIVAL_TIME_1', 'DIVERTED,0.0', 'CANCELLATION_REASON,4']"
732,1431,"{('CANCELLATION_REASON', 4), ('WHEELS_ON', 'WHEELS_ON_1'), ('ARRIVAL_TIME', 'ARRIVAL_TIME_1'), ((('ARRIVAL_TIME', 'ARRIVAL_TIME_1'),)",2,1,19896,19855,0.19485,0.9793425814234017,4.9324733388234785,0.19082490199034982,38.79719812187579,"(('CANCELLATION_REASON', 4), ('WHEELS_ON', 'WHEELS_ON_1'))","(('ARRIVAL_TIME', 'ARRIVAL_TIME_1'),)","['CANCELLATION_REASON,4', 'WHEELS_ON,WHEELS_ON_1', 'ARRIVAL_TIME,ARRIVAL_TIME_1']"
733,1432,"{('ARRIVAL_TIME', 'ARRIVAL_TIME_1'), ('WHEELS_ON', 'WHEELS_ON_1'), ('CANCELLATION_REASON', 4), ((('CANCELLATION_REASON', 4),)",2,1,19485,98425,0.19485,1.0,1.0160020320040641,0.19485,15750000.000000041,"(('ARRIVAL_TIME', 'ARRIVAL_TIME_1'), ('WHEELS_ON', 'WHEELS_ON_1'))","(('CANCELLATION_REASON', 4),)","['ARRIVAL_TIME,ARRIVAL_TIME_1', 'WHEELS_ON,WHEELS_ON_1', 'CANCELLATION_REASON,4']"
736,1441,"{('ARRIVAL_TIME', 'ARRIVAL_TIME_1'), ('DIVERTED', 0.0), ('CANCELLED', 0.0), ((('CANCELLED', 0.0),)",2,1,19815,98425,0.19815,1.0,1.016002032004064,0.19815,15750000.000000041,"(('ARRIVAL_TIME', 'ARRIVAL_TIME_1'), ('DIVERTED', 0.0))","(('CANCELLED', 0.0),)","['ARRIVAL_TIME,ARRIVAL_TIME_1', 'DIVERTED,0.0', 'CANCELLED,0.0']"
740,1459,"{('CANCELLED', 0.0), ('WHEELS_ON', 'WHEELS_ON_1'), ('ARRIVAL_TIME', 'ARRIVAL_TIME_1'), ((('ARRIVAL_TIME', 'ARRIVAL_TIME_1'),)",2,1,19896,19855,0.19485,0.9793425814234017,4.9324733388234785,0.19082490199034982,38.79719812187579,"(('CANCELLED', 0.0), ('WHEELS_ON', 'WHEELS_ON_1'))","(('ARRIVAL_TIME', 'ARRIVAL_TIME_1'),)","['ARRIVAL_TIME,ARRIVAL_TIME_1', 'WHEELS_ON,WHEELS_ON_1', 'CANCELLED,0.0']"
750,1508,"{('DIVERTED', 0.0), ('WHEELS_ON', 'WHEELS_ON_1'), ('ARRIVAL_TIME', 'ARRIVAL_TIME_1'), ((('ARRIVAL_TIME', 'ARRIVAL_TIME_1'),)",2,1,19856,19855,0.19445,0.9793009669621273,4.932263746976214,0.19042507302578568,38.71919812941996,"(('DIVERTED', 0.0), ('WHEELS_ON', 'WHEELS_ON_1'))","(('ARRIVAL_TIME', 'ARRIVAL_TIME_1'),)","['ARRIVAL_TIME,ARRIVAL_TIME_1', 'DIVERTED,0.0', 'WHEELS_ON,WHEELS_ON_1']"
757,1549,"{('ARRIVAL_TIME', 'ARRIVAL_TIME_2'), ('CANCELLED', 0.0), ('CANCELLATION_REASON', 4), ((('CANCELLATION_REASON', 4),)",2,1,19740,98425,0.1974,1.0,1.016002032004064,0.1974,15750000.000000041,"(('ARRIVAL_TIME', 'ARRIVAL_TIME_2'), ('CANCELLED', 0.0))","(('CANCELLATION_REASON', 4),)","['CANCELLATION_REASON,4', 'CANCELLED,0.0', 'ARRIVAL_TIME,ARRIVAL_TIME_2']"
759,1557,"{('ARRIVAL_TIME', 'ARRIVAL_TIME_2'), ('DIVERTED', 0.0), ('CANCELLATION_REASON', 4), ((('CANCELLATION_REASON', 4),)",2,1,19697,98425,0.19697,1.0,1.016002032004064,0.19697,15750000.000000041,"(('ARRIVAL_TIME', 'ARRIVAL_TIME_2'), ('DIVERTED', 0.0))","(('CANCELLATION_REASON', 4),)","['CANCELLATION_REASON,4', 'DIVERTED,0.0', 'ARRIVAL_TIME,ARRIVAL_TIME_2']"
